lb,ub,real cnt,guessed cnt
0,99999,29849,24251
0,12,0,177
13,146,6,66
147,390,2,26
391,611,34,164
612,781,8,44
782,1051,30,168
1052,1172,16,28
1173,1514,33,67
1515,1758,8,29
1759,1856,13,121
1857,2051,23,63
2052,2182,71,176
2183,2246,26,52
2247,2331,6,127
2332,2417,45,74
2418,2475,11,181
2476,2564,13,72
2565,2625,31,105
2626,2783,5,49
2784,2826,31,121
2827,2929,58,68
2930,3076,2,50
3077,3118,97,237
3119,3170,37,201
3171,3271,6,48
3272,3363,53,216
3364,3455,58,116
3456,3515,22,29
3516,3858,25,47
3859,3943,46,127
3944,4029,0,52
4030,4090,62,188
4091,4297,0,29
4298,4389,70,162
4390,4590,24,63
4591,4675,44,190
4676,4810,23,51
4811,4981,25,49
4982,5018,69,170
5019,5127,1,48
5128,5189,97,252
5190,5371,11,64
5372,5468,9,10
5469,6640,35,39
6641,6910,27,116
6911,7031,0,45
7032,7289,0,77
7290,7313,246,329
7314,7617,14,61
7618,7688,284,340
7689,7715,0,33
7716,7812,4,10
7813,8618,55,181
8619,8887,0,61
8888,9374,22,26
9375,9521,4,74
9522,9765,0,24
9766,10254,0,31
10255,10450,0,47
10451,10523,43,193
10524,10547,18,11
10548,10937,2,8
10938,12499,0,10
12500,13379,0,67
13380,13575,27,67
13576,13867,0,26
13868,14084,41,231
14085,14160,0,49
14161,14344,26,74
14345,14453,0,26
14454,14990,0,49
14991,15027,352,367
15028,15429,0,39
15430,15624,8,6
15625,18749,0,10
18750,19727,0,29
19728,19922,0,46
19923,20063,37,186
20064,20117,0,29
20118,20312,0,8
20313,21874,1,6
21875,24999,15,8
25000,26562,0,10
26563,27734,0,27
27735,27831,34,190
27832,27929,0,28
27930,28124,0,6
28125,31249,5,5
31250,37499,2,3
37500,49999,0,1
50000,74999,0,3
75000,87499,0,5
87500,93749,0,6
93750,96874,0,8
96875,98633,0,26
98634,98828,0,11
98829,99609,0,24
99610,99951,0,49
99952,99998,159,291
