lb,ub,real cnt,guessed cnt
0,0,29849,24251
1,97,0,211
98,586,8,58
587,781,34,195
782,1075,38,181
1076,1758,50,108
1759,2148,43,200
2149,2319,97,315
2320,2490,62,315
2491,2808,49,206
2809,3100,91,239
3101,3173,134,438
3174,3418,88,322
3419,3906,76,134
3907,4078,88,327
4079,4383,20,107
4384,4651,135,317
4652,5006,51,160
5007,5189,167,450
5190,5468,11,84
5469,6836,44,49
6837,7227,27,161
7228,7325,246,406
7326,7666,14,61
7667,7715,284,358
7716,8593,4,25
8594,8691,55,197
8692,9485,22,91
9486,10254,4,93
10255,10547,43,256
10548,13281,20,29
13282,14062,27,160
14063,14356,67,354
14357,14990,0,57
14991,15039,352,385
15040,15624,0,39
15625,19531,8,16
19532,20020,0,75
20021,20312,37,215
20313,24999,1,14
25000,27734,15,29
27735,28124,34,234
28125,37499,5,11
37500,49999,2,3
50000,74999,0,1
75000,87499,0,3
87500,93749,0,5
93750,98437,0,14
98438,99902,0,76
99903,99999,159,325
