lb,ub,real cnt,guessed cnt
0,0,29849,29796
1,1,0,39
2,3,0,31
4,4,0,33
5,5,0,33
6,6,0,31
7,12,0,26
13,24,0,24
25,48,0,22
49,97,0,20
98,146,6,20
147,195,0,20
196,390,0,16
391,586,2,16
587,593,0,26
594,594,34,35
595,595,0,33
596,596,0,33
597,599,0,29
600,611,0,24
612,635,0,22
636,684,0,20
685,781,0,18
782,977,8,16
978,1002,5,22
1003,1026,0,22
1027,1039,0,24
1040,1041,0,31
1042,1042,0,31
1043,1045,0,29
1046,1051,0,26
1052,1075,25,22
1076,1172,13,18
1173,1367,3,16
1368,1465,11,18
1466,1490,7,22
1491,1514,15,22
1515,1562,0,20
1563,1758,1,16
1759,1807,7,20
1808,1832,7,22
1833,1838,0,26
1839,1841,0,29
1842,1844,0,29
1845,1856,6,24
1857,1905,0,20
1906,1953,0,20
1954,2002,0,20
2003,2051,12,20
2052,2148,11,18
2149,2173,0,22
2174,2174,48,45
2175,2175,0,33
2176,2176,23,31
2177,2179,0,29
2180,2182,0,29
2183,2185,0,29
2186,2197,0,24
2198,2246,21,20
2247,2295,5,20
2296,2307,0,24
2308,2310,0,29
2311,2313,0,29
2314,2319,0,26
2320,2331,6,24
2332,2343,0,24
2344,2392,18,20
2393,2405,0,24
2406,2417,27,24
2418,2441,0,22
2442,2454,0,24
2455,2460,0,26
2461,2466,11,26
2467,2468,0,31
2469,2469,0,31
2470,2472,0,29
2473,2475,0,29
2476,2478,0,29
2479,2490,0,24
2491,2539,1,20
2540,2564,0,22
2565,2588,12,22
2589,2613,20,22
2614,2619,0,26
2620,2622,0,29
2623,2625,0,29
2626,2637,11,24
2638,2734,5,18
2735,2783,0,20
2784,2808,0,22
2809,2820,0,24
2821,2823,0,29
2824,2825,0,31
2826,2826,0,39
2827,2832,31,26
2833,2881,0,20
2882,2905,24,22
2906,2929,11,22
2930,2978,23,20
2979,3027,2,20
3028,3076,0,20
3077,3100,0,22
3101,3101,0,33
3102,3102,0,33
3103,3103,97,89
3104,3106,0,29
3107,3109,0,29
3110,3112,0,29
3113,3118,0,26
3119,3124,0,26
3125,3131,0,26
3132,3134,0,29
3135,3136,0,31
3137,3137,37,31
3138,3149,0,24
3150,3161,0,24
3162,3167,0,26
3168,3170,0,29
3171,3173,0,29
3174,3222,0,20
3223,3271,0,20
3272,3320,6,20
3321,3324,0,29
3325,3325,53,47
3326,3326,0,33
3327,3327,0,31
3328,3333,0,26
3334,3345,0,24
3346,3357,0,24
3358,3363,0,26
3364,3369,0,26
3370,3394,0,22
3395,3406,0,24
3407,3418,29,24
3419,3443,4,22
3444,3455,0,24
3456,3467,25,24
3468,3515,8,20
3516,3711,14,16
3712,3809,12,18
3810,3858,7,20
3859,3906,6,20
3907,3919,32,24
3920,3931,0,24
3932,3937,0,26
3938,3940,0,29
3941,3943,14,29
3944,3955,0,24
3956,4004,0,20
4005,4029,0,22
4030,4053,0,22
4054,4060,0,26
4061,4063,0,29
4064,4064,42,37
4065,4065,0,33
4066,4066,0,33
4067,4078,0,24
4079,4090,0,24
4091,4102,20,24
4103,4297,0,16
4298,4346,0,20
4347,4371,0,22
4372,4383,0,24
4384,4385,0,31
4386,4386,70,68
4387,4389,0,29
4390,4395,0,26
4396,4492,12,18
4493,4541,12,20
4542,4590,0,20
4591,4639,0,20
4640,4645,0,26
4646,4648,0,29
4649,4649,0,33
4650,4650,41,39
4651,4651,0,33
4652,4663,0,24
4664,4675,0,24
4676,4687,3,24
4688,4785,0,18
4786,4810,23,22
4811,4834,0,22
4835,4883,17,20
4884,4981,8,18
4982,5006,0,22
5007,5012,0,26
5013,5013,69,66
5014,5014,0,33
5015,5015,0,31
5016,5018,0,29
5019,5030,0,24
5031,5078,1,20
5079,5127,0,20
5128,5176,0,20
5177,5177,0,33
5178,5178,97,97
5179,5180,0,31
5181,5181,0,33
5182,5182,0,35
5183,5183,0,31
5184,5189,0,26
5190,5201,0,24
5202,5225,0,22
5226,5273,0,20
5274,5371,0,18
5372,5468,11,18
5469,6249,9,12
6250,6445,12,16
6446,6640,16,16
6641,6836,7,16
6837,6861,27,22
6862,6873,0,24
6874,6885,0,24
6886,6898,0,24
6899,6910,0,24
6911,6934,0,22
6935,6983,0,20
6984,7031,0,20
7032,7227,0,16
7228,7252,0,22
7253,7276,0,22
7277,7289,0,24
7290,7295,0,26
7296,7297,0,31
7298,7298,246,238
7299,7301,0,29
7302,7307,0,26
7308,7310,0,29
7311,7313,0,29
7314,7325,0,24
7326,7422,0,18
7423,7520,14,18
7521,7617,0,18
7618,7666,0,20
7667,7679,0,24
7680,7682,0,29
7683,7685,0,29
7686,7687,0,31
7688,7688,284,278
7689,7691,0,29
7692,7715,0,22
7716,7812,0,18
7813,8593,4,12
8594,8606,0,24
8607,8612,0,26
8613,8613,0,33
8614,8614,55,56
8615,8615,0,33
8616,8618,0,29
8619,8642,0,22
8643,8691,0,20
8692,8789,0,18
8790,8887,0,18
8888,8984,0,18
