lb,ub,real cnt,guessed cnt
0,0,0,12
1,1,20,22
2,2,32,27
3,3,39,37
4,4,54,54
5,5,60,56
6,6,64,60
7,7,26,22
8,8,145,141
9,9,18,12
10,10,278,278
11,11,11,12
12,12,173,172
13,13,23,20
14,14,34,29
15,15,404,395
16,16,205,204
17,17,29,24
18,18,75,72
19,19,14,12
20,20,1224,1213
21,21,24,27
22,22,44,43
23,23,21,20
24,24,252,241
25,25,674,666
26,26,30,29
27,27,30,16
28,28,86,77
29,29,7,16
30,30,1149,1144
31,31,5,10
32,32,266,260
33,33,39,37
34,34,28,24
35,35,1297,1296
36,36,220,193
37,37,149,141
38,38,476,474
39,39,38,22
40,40,15217,15228
41,41,36,33
42,42,219,216
43,43,151,151
44,44,212,214
45,45,1824,1827
46,46,82,85
47,47,49,47
48,48,517,518
49,49,29,27
50,50,2819,2818
51,51,13,12
52,52,138,135
53,53,25,20
54,54,41,31
55,55,694,676
56,56,97,93
57,57,17,24
58,58,28,22
59,59,5,10
60,60,1475,1471
61,61,2,12
62,62,18,14
63,63,10,12
64,64,14,14
65,65,244,243
66,66,17,12
67,67,4,12
68,68,12,10
69,69,0,18
70,70,291,287
71,71,0,14
72,72,71,66
73,73,2,12
74,74,1,10
75,75,66,64
76,76,3,12
77,77,6,12
78,78,8,12
79,79,0,12
80,80,133,131
81,81,3,12
82,82,1,12
83,83,0,14
84,84,45,47
85,85,13,14
86,86,2,12
87,87,1,10
88,89,4,10
90,90,29,20
91,93,4,8
94,96,8,8
97,97,2,12
98,98,11,12
99,99,85,72
