lb,ub,real cnt,guessed cnt
0,0,0,12
1,1,20,18
2,2,32,31
3,3,39,37
4,4,54,56
5,5,60,62
6,6,64,62
7,7,26,24
8,8,145,141
9,9,18,12
10,10,278,280
11,11,11,12
12,12,173,170
13,13,23,18
14,14,34,20
15,15,404,402
16,16,205,203
17,17,29,26
18,18,75,76
19,19,14,12
20,20,1224,1219
21,21,24,20
22,22,44,41
23,23,21,18
24,24,252,249
25,25,674,672
26,26,30,26
27,27,30,26
28,28,86,85
29,29,7,14
30,30,1149,1146
31,31,5,10
32,32,266,265
33,33,39,31
34,34,28,31
35,35,1297,1289
36,36,220,211
37,37,149,141
38,38,476,471
39,39,38,33
40,40,15217,15196
41,41,36,37
42,42,219,218
43,43,151,151
44,44,212,207
45,45,1824,1819
46,46,82,74
47,47,49,45
48,48,517,515
49,49,29,26
50,50,2819,2814
51,51,13,18
52,52,138,132
53,53,25,26
54,54,41,39
55,55,694,693
56,56,97,95
57,57,17,16
58,58,28,24
59,59,5,16
60,60,1475,1464
61,61,2,12
62,62,18,14
63,63,10,12
64,64,14,12
65,65,244,240
66,66,17,16
67,67,4,12
68,68,12,12
69,69,0,14
70,70,291,284
71,71,0,12
72,72,71,70
73,73,2,14
74,74,1,12
75,75,66,66
76,76,3,16
77,77,6,12
78,78,8,14
79,79,0,12
80,80,133,124
81,81,3,10
82,83,1,10
84,84,45,33
85,85,13,12
86,86,2,12
87,87,1,10
88,89,4,10
90,90,29,26
91,93,4,8
94,95,3,10
96,96,5,10
97,98,13,10
99,99,85,74
