lb,ub,real cnt,guessed cnt
0,0,29849,24253
1,1,0,27
2,2,0,28
3,3,0,27
4,6,0,23
7,9,0,23
10,12,0,23
13,24,0,20
25,48,0,18
49,97,0,16
98,195,6,15
196,390,0,13
391,586,2,13
587,593,0,21
594,594,34,27
595,595,0,28
596,596,0,25
597,598,0,25
599,599,0,25
600,611,0,20
612,623,0,20
624,635,0,20
636,684,0,16
685,781,0,15
782,977,8,13
978,1002,5,18
1003,1026,0,18
1027,1075,25,16
1076,1172,13,15
1173,1367,3,13
1368,1416,7,16
1417,1465,4,16
1466,1514,22,16
1515,1562,0,16
1563,1758,1,13
1759,1953,20,13
1954,2051,12,15
2052,2100,2,16
2101,2148,9,16
2149,2173,0,18
2174,2174,48,40
2175,2175,0,27
2176,2176,23,27
2177,2177,0,30
2178,2178,0,28
2179,2179,0,25
2180,2185,0,21
2186,2191,0,21
2192,2197,0,21
2198,2246,21,16
2247,2343,11,15
2344,2392,18,16
2393,2417,27,18
2418,2441,0,18
2442,2539,12,15
2540,2588,12,16
2589,2613,20,18
2614,2637,11,18
2638,2734,5,15
2735,2759,0,18
2760,2783,0,18
2784,2808,0,18
2809,2820,0,20
2821,2826,0,21
2827,2829,31,23
2830,2832,0,23
2833,2881,0,16
2882,2905,24,18
2906,2929,11,18
2930,2978,23,16
2979,3027,2,16
3028,3076,0,16
3077,3100,0,18
3101,3101,0,27
3102,3102,0,28
3103,3103,97,76
3104,3106,0,23
3107,3109,0,23
3110,3112,0,23
3113,3124,0,20
3125,3131,0,21
3132,3134,0,23
3135,3136,0,25
3137,3137,37,27
3138,3149,0,20
3150,3161,0,20
3162,3173,0,20
3174,3222,0,16
3223,3320,6,15
3321,3324,0,23
3325,3325,53,38
3326,3326,0,27
3327,3327,0,27
3328,3333,0,21
3334,3345,0,20
3346,3369,0,18
3370,3394,0,18
3395,3406,0,20
3407,3409,0,23
3410,3412,24,23
3413,3418,5,21
3419,3443,4,18
3444,3455,0,20
3456,3467,25,20
3468,3515,8,16
3516,3564,0,16
3565,3589,0,18
3590,3613,0,18
3614,3711,14,15
3712,3760,0,16
3761,3773,0,20
3774,3785,12,20
3786,3791,0,21
3792,3794,0,23
3795,3797,0,23
3798,3809,0,20
3810,3906,13,15
3907,3910,32,23
3911,3913,0,23
3914,3919,0,21
3920,3925,0,21
3926,3931,0,21
3932,3955,14,18
3956,4004,0,16
4005,4053,0,16
4054,4060,0,21
4061,4062,0,25
4063,4063,0,27
4064,4064,42,28
4065,4065,0,27
4066,4066,0,25
4067,4078,0,20
4079,4102,20,18
4103,4297,0,13
4298,4346,0,16
4347,4371,0,18
4372,4383,0,20
4384,4384,0,27
4385,4385,0,27
4386,4386,70,57
4387,4389,0,23
4390,4392,0,23
4393,4394,0,25
4395,4395,0,25
4396,4444,12,16
4445,4492,0,16
4493,4590,12,15
4591,4639,0,16
4640,4645,0,21
4646,4647,0,25
4648,4648,0,25
4649,4649,0,27
4650,4650,41,27
4651,4651,0,25
4652,4663,0,20
4664,4687,3,18
4688,4785,0,15
4786,4834,23,16
4835,4883,17,16
4884,4981,8,15
4982,4994,0,20
4995,5000,0,21
5001,5006,0,21
5007,5009,0,23
5010,5012,0,23
5013,5013,69,47
5014,5014,0,27
5015,5015,0,27
5016,5018,0,23
5019,5021,0,23
5022,5024,0,23
5025,5030,0,21
5031,5078,1,16
5079,5176,0,15
5177,5177,0,27
5178,5178,97,77
5179,5180,0,25
5181,5183,0,23
5184,5184,0,28
5185,5185,0,28
5186,5186,0,25
5187,5189,0,23
5190,5195,0,21
5196,5201,0,21
5202,5225,0,18
5226,5231,0,21
5232,5237,0,21
5238,5249,0,20
5250,5261,0,20
5262,5273,0,20
5274,5468,11,13
5469,6249,9,10
6250,6445,12,13
6446,6543,16,15
6544,6640,0,15
6641,6836,7,13
6837,6843,0,21
6844,6846,0,23
6847,6847,0,28
6848,6848,0,27
6849,6849,27,27
6850,6861,0,20
6862,6885,0,18
6886,6910,0,18
6911,6934,0,18
6935,7031,0,15
7032,7080,0,16
7081,7129,0,16
7130,7227,0,15
7228,7276,0,16
7277,7283,0,21
7284,7289,0,21
7290,7295,0,21
7296,7297,0,25
7298,7298,246,197
7299,7300,0,25
7301,7301,0,25
7302,7313,0,20
7314,7319,0,21
7320,7325,0,21
7326,7374,0,16
7375,7386,0,20
7387,7398,0,20
7399,7422,0,18
7423,7617,14,13
7618,7666,0,16
7667,7673,0,21
7674,7679,0,21
7680,7685,0,21
7686,7687,0,25
7688,7688,284,224
7689,7691,0,23
7692,7715,0,18
7716,7812,0,15
7813,8593,4,10
8594,8606,0,20
8607,8612,0,21
8613,8613,0,27
8614,8614,55,43
8615,8615,0,27
8616,8618,0,23
8619,8642,0,18
8643,8691,0,16
8692,8789,0,15
8790,8984,0,13
8985,9374,0,11
9375,9423,22,16
9424,9472,0,16
9473,9570,4,15
9571,9668,0,15
9669,9765,0,15
9766,10156,0,11
10157,10352,0,13
10353,10401,0,16
10402,10426,0,18
10427,10438,0,20
10439,10450,0,20
10451,10499,0,16
10500,10511,0,20
10512,10517,0,21
10518,10518,0,27
10519,10519,0,28
10520,10520,43,32
10521,10522,0,25
10523,10523,0,25
10524,10547,0,18
10548,10596,6,16
10597,10645,12,16
10646,10742,0,15
10743,10840,0,15
10841,10937,0,15
10938,12499,2,8
12500,13281,0,10
13282,13477,0,13
13478,13526,0,16
13527,13533,0,21
13534,13539,0,21
13540,13551,27,20
13552,13563,0,20
13564,13575,0,20
13576,13672,0,15
13673,14062,0,11
14063,14075,0,20
14076,14081,0,21
14082,14082,0,27
14083,14083,0,27
14084,14084,41,32
14085,14086,0,25
14087,14087,0,25
14088,14111,0,18
14112,14160,0,16
14161,14258,0,15
14259,14307,0,16
14308,14320,0,20
14321,14332,0,20
14333,14344,26,20
14345,14356,0,20
14357,14405,0,16
14406,14453,0,16
14454,14843,0,11
14844,14941,0,15
14942,14990,0,16
14991,15015,0,18
15016,15021,5,21
15022,15022,0,27
15023,15023,0,27
15024,15024,347,282
15025,15027,0,23
15028,15039,0,20
15040,15234,0,13
15235,15624,0,11
15625,18749,8,6
18750,19531,0,10
19532,19580,0,16
19581,19605,0,18
19606,19629,0,18
19630,19727,0,15
19728,19922,0,13
19923,19971,0,16
19972,20020,0,16
20021,20033,0,20
20034,20039,0,21
20040,20042,0,23
20043,20045,0,23
20046,20048,0,23
20049,20049,0,27
20050,20050,0,27
20051,20051,37,28
20052,20057,0,21
20058,20069,0,20
20070,20117,0,16
20118,20312,0,13
20313,21874,0,8
21875,23437,1,8
23438,23535,0,15
23536,23584,0,16
23585,23633,0,16
23634,23828,0,13
23829,24218,0,11
24219,24999,0,10
25000,26562,15,8
26563,27343,0,10
27344,27734,0,11
27735,27832,34,15
27833,27929,0,15
27930,27978,0,16
27979,28027,0,16
28028,28124,0,15
28125,28906,0,10
28907,29297,0,11
29298,29492,0,13
29493,29687,0,13
29688,31249,0,8
31250,37499,5,5
37500,49999,2,3
50000,74999,0,1
75000,87499,0,3
87500,93749,0,5
93750,96874,0,6
96875,98437,0,8
98438,98828,0,11
98829,99218,0,11
99219,99609,0,11
99610,99804,0,13
99805,99811,0,21
99812,99817,0,21
99818,99829,0,20
99830,99853,0,18
99854,99878,0,18
99879,99902,0,18
99903,99951,0,16
99952,99975,0,18
99976,99987,0,20
99988,99993,0,21
99994,99996,0,23
99997,99998,0,25
99999,99999,159,121
